# darshan log version: 3.21
# compression method: ZLIB
# exe: /home/haridev/CLionProjects/h5intent/cmake-build-debug/bin/h5_write -f /home/haridev/temp/h5intent
# uid: 1000
# jobid: 276735
# start_time: 1669763079
# start_time_asci: Tue Nov 29 15:04:39 2022
# end_time: 1669763079
# end_time_asci: Tue Nov 29 15:04:39 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 484 bytes (compressed)
# record table: 158 bytes (compressed)
# POSIX module: 158 bytes (compressed), ver=4
# H5F module: 45 bytes (compressed), ver=3
# H5D module: 124 bytes (compressed), ver=2
# STDIO module: 54 bytes (compressed), ver=2
# HEATMAP module: 66 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/snap/gtk-common-themes/1519	squashfs
# mount entry:	/snap/gtk-common-themes/1535	squashfs
# mount entry:	/run/snapd/ns/snap-store.mnt	nsfs
# mount entry:	/run/snapd/ns/chromium.mnt	nsfs
# mount entry:	/snap/gnome-3-38-2004/119	squashfs
# mount entry:	/snap/gnome-3-38-2004/115	squashfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/fs/cgroup/unified	cgroup2
# mount entry:	/run/snapd/ns/cups.mnt	nsfs
# mount entry:	/snap/snap-store/599	squashfs
# mount entry:	/snap/snap-store/558	squashfs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/snap/chromium/2168	squashfs
# mount entry:	/run/user/1000/gvfs	fuse.gvfsd-fuse
# mount entry:	/snap/chromium/2221	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/run/user/1000/doc	fuse
# mount entry:	/snap/core18/2566	squashfs
# mount entry:	/snap/core20/1634	squashfs
# mount entry:	/run/vmblock-fuse	fuse.vmware-vmblock
# mount entry:	/snap/core20/1695	squashfs
# mount entry:	/snap/core18/2632	squashfs
# mount entry:	/snap/snapd/17883	squashfs
# mount entry:	/snap/clion/209	squashfs
# mount entry:	/snap/clion/204	squashfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/snap/cups/836	squashfs
# mount entry:	/snap/bare/5	squashfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/boot/efi	vfat
# mount entry:	/dev	devtmpfs
# mount entry:	/	ext4

# description of columns:
#   <module>: module responsible for this I/O record.
#   <rank>: MPI rank.  -1 indicates that the file is shared
#      across all processes and statistics are aggregated.
#   <record id>: hash of the record's file path
#   <counter name> and <counter value>: statistical counters.
#      A value of -1 indicates that Darshan could not monitor
#      that counter, and its value should be ignored.
#   <file name>: full file path for the record.
#   <mount pt>: mount point that the file resides on.
#   <fs type>: type of file system that the file resides on.

# *******************************************************
# POSIX module data
# *******************************************************

# description of POSIX counters:
#   POSIX_*: posix operation counts.
#   READS,WRITES,OPENS,SEEKS,STATS,MMAPS,SYNCS,FILENOS,DUPS are types of operations.
#   POSIX_RENAME_SOURCES/TARGETS: total count file was source or target of a rename operation
#   POSIX_RENAMED_FROM: Darshan record ID of the first rename source, if file was a rename target
#   POSIX_MODE: mode that file was opened in.
#   POSIX_BYTES_*: total bytes read and written.
#   POSIX_MAX_BYTE_*: highest offset byte read and written.
#   POSIX_CONSEC_*: number of exactly adjacent reads and writes.
#   POSIX_SEQ_*: number of reads and writes from increasing offsets.
#   POSIX_RW_SWITCHES: number of times access alternated between read and write.
#   POSIX_*_ALIGNMENT: memory and file alignment.
#   POSIX_*_NOT_ALIGNED: number of reads and writes that were not aligned.
#   POSIX_MAX_*_TIME_SIZE: size of the slowest read and write operations.
#   POSIX_SIZE_*_*: histogram of read and write access sizes.
#   POSIX_STRIDE*_STRIDE: the four most common strides detected.
#   POSIX_STRIDE*_COUNT: count of the four most common strides.
#   POSIX_ACCESS*_ACCESS: the four most common access sizes.
#   POSIX_ACCESS*_COUNT: count of the four most common access sizes.
#   POSIX_*_RANK: rank of the processes that were the fastest and slowest at I/O (for shared files).
#   POSIX_*_RANK_BYTES: bytes transferred by the fastest and slowest ranks (for shared files).
#   POSIX_F_*_START_TIMESTAMP: timestamp of first open/read/write/close.
#   POSIX_F_*_END_TIMESTAMP: timestamp of last open/read/write/close.
#   POSIX_F_READ/WRITE/META_TIME: cumulative time spent in read, write, or metadata operations.
#   POSIX_F_MAX_*_TIME: duration of the slowest read and write operations.
#   POSIX_F_*_RANK_TIME: fastest and slowest I/O time for a single rank (for shared files).
#   POSIX_F_VARIANCE_RANK_*: variance of total I/O time and bytes moved for all ranks (for shared files).

# WARNING: POSIX_OPENS counter includes both POSIX_FILENOS and POSIX_DUPS counts

# WARNING: POSIX counters related to file offsets may be incorrect if a file is simultaneously accessed by both POSIX and STDIO (e.g., using fileno())
# 	- Affected counters include: MAX_BYTE_{READ|WRITTEN}, CONSEC_{READS|WRITES}, SEQ_{READS|WRITES}, {MEM|FILE}_NOT_ALIGNED, STRIDE*_STRIDE

#<module>	<rank>	<record id>	<counter>	<value>	<file name>	<mount pt>	<fs type>
POSIX	-1	3601031562572157404	POSIX_OPENS	2	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_FILENOS	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_DUPS	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_READS	1	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_WRITES	4	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SEEKS	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_STATS	3	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_MMAPS	-1	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_FSYNCS	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_FDSYNCS	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_RENAME_SOURCES	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_RENAME_TARGETS	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_RENAMED_FROM	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_MODE	438	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_BYTES_READ	1048576	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_BYTES_WRITTEN	1050168	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_MAX_BYTE_READ	1050623	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_MAX_BYTE_WRITTEN	1050623	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_CONSEC_READS	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_CONSEC_WRITES	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SEQ_READS	1	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SEQ_WRITES	1	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_RW_SWITCHES	2	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_MEM_NOT_ALIGNED	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_MEM_ALIGNMENT	8	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_FILE_NOT_ALIGNED	2	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_FILE_ALIGNMENT	4096	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_MAX_READ_TIME_SIZE	1048576	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_MAX_WRITE_TIME_SIZE	1048576	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_READ_0_100	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_READ_100_1K	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_READ_1K_10K	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_READ_10K_100K	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_READ_100K_1M	1	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_READ_1M_4M	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_READ_4M_10M	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_READ_10M_100M	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_READ_100M_1G	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_READ_1G_PLUS	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_WRITE_0_100	2	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_WRITE_100_1K	0	/home/haridev/temp/h5intent/test.h5	/	ext4
POSIX	-1	3601031562572157404	POSIX_SIZE_WRITE_1K_10K	1	/home/haridev/temp/h5intent/test.h5	/	ext4
